PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
1,1,1,Pitcher_1,Right,1,Batter_1,Right,2,Windup,1,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.97702052,-2.274993252,-4.772071386,2297.936941,210.6850384,1:00,6.48399561,2.312935454,6.170663043,-10.57479504,20.74857328,12.32975056,3.493470082,-0.576643346,85.85587859,-4.270472438,-2.451812165,0.402815104,,,,,,,,,,,,-8.00863312,11.91591512,-1.95802375,50,6.30605147,10.97962107,-136.3209922,-5.778092694,-15.1079203,29.26778757,-9.695219363
2,1,2,Pitcher_1,Right,1,Batter_1,Right,2,Windup,1,Top,0,1,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.12625088,-2.612967814,-3.556288195,2269.581218,224.4732349,1:30,6.16466596,2.362344471,6.247055084,-16.55920434,14.52699958,14.29100482,2.368908608,0.76967856,86.13232979,-5.735299493,-0.854916007,0.401287253,,,,,,,,,,,,-8.782894547,8.653436889,-2.105257303,50,5.962066472,8.038579521,-136.7190479,-6.782508331,-16.64365824,29.80827427,-15.77571365
3,1,3,Pitcher_1,Right,1,Batter_1,Right,2,Windup,1,Top,0,1,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.00598776,-2.971727668,-4.696844476,2271.327975,164.4358246,11:30,6.506333109,2.406023061,6.119176541,-29.19871035,8.237665829,-2.304250313,1.314421293,-1.637340002,79.56662004,-8.396312721,-5.128208139,0.440370704,,,,,,,,,,,,0.005884264,5.264509248,-2.045051633,50,6.262886369,10.31540875,-124.709937,-7.374029963,0.009309883,23.99038314,-23.84471971
4,1,4,Pitcher_1,Right,1,Batter_1,Right,2,Windup,1,Top,0,2,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.54243215,-2.476194241,-5.032971001,2261.660457,212.4677406,1:00,6.352995192,2.475792302,6.184179074,-13.08538632,18.39606695,11.72386468,2.966174094,-0.705791273,85.94930897,-4.935801809,-2.833532061,0.403830303,,,,,,,,,,,,-7.667277777,10.64386109,-2.101901979,50,6.159007875,11.56829688,-135.6677111,-6.313477847,-14.40273356,27.48929802,-12.17989942
5,1,5,Pitcher_1,Right,1,Batter_1,Right,2,Windup,1,Top,0,3,1,Fastball,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,93.33260465,-1.668167218,-3.810501264,2300.714035,209.7358101,1:00,6.45406303,2.38196129,6.099729284,-14.56193318,16.94392454,9.695605339,3.694155095,0.161143183,86.05499309,-4.397912433,-1.99304505,0.403986797,,,,,,,,,,,,-6.196666159,9.596298877,-2.094191677,50,6.317923064,8.71595571,-135.6664838,-4.44037892,-11.67537966,26.63721277,-14.0932887
6,2,1,Pitcher_1,Right,1,Batter_2,Right,2,Stretch,1,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.19863178,-1.588821789,-3.236276656,2151.657036,215.7583409,1:15,6.334712886,2.435877087,6.255603055,-13.67197308,17.33159405,12.50178508,3.727800242,0.990725642,85.97472948,-4.174640105,-0.87064105,0.400753525,,,,,,,,,,,,-7.734222824,9.915015081,-2.202180459,50,6.210092161,7.343128164,-136.9496212,-4.242695608,-14.68628296,30.28653196,-13.34672481
7,2,2,Pitcher_1,Right,1,Batter_2,Right,2,Stretch,1,Top,0,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,1,0,,94.14479968,-1.649282657,-3.988081192,2197.680236,214.0307878,1:15,6.468379986,2.478735477,6.054327278,-12.01904628,19.3674078,13.09855686,3.936261796,0.373359658,85.68221019,-3.917394572,-1.519044786,0.403220538,,,,,,,,,,,,-8.240897152,10.98047147,-2.175978544,50,6.333659329,9.095156399,-136.6949204,-4.344527156,-15.56398059,30.64836344,-11.43603405
8,2,3,Pitcher_1,Right,1,Batter_2,Right,2,Windup,1,Top,1,1,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,80.51808279,-1.807519119,-3.27622541,2101.573179,161.6041182,11:30,6.418283205,2.243733345,6.293843355,-41.28357491,1.082168359,-0.373150702,1.30941136,-0.309091678,74.46321659,-9.532364188,-3.346732318,0.468466924,,,,,,,,,,,,-0.704481512,1.093933331,-2.002894087,50,6.265307582,6.710642141,-117.0529219,-4.822237712,-0.977704579,22.03031552,-30.65584885
9,2,4,Pitcher_1,Right,1,Batter_2,Right,2,Windup,1,Top,1,2,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,96.13721853,-3.772471125,-5.044890281,2265.565249,226.0239018,1:30,6.310511803,2.193977091,6.205832355,-14.78436989,15.27036568,15.85542017,1.578454209,-0.652488457,87.80969921,-6.557948741,-2.056002935,0.394573554,,,,,,,,,,,,-10.04938681,9.379817121,-1.823089963,50,6.018926599,11.76617124,-139.193669,-9.700115911,-19.72270759,31.1429185,-13.76542385
10,2,5,Pitcher_1,Right,1,Batter_2,Right,2,Windup,1,Top,1,3,1,Fastball,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,95.01052559,-1.097042364,-3.315518203,2204.545392,217.9380011,1:15,6.320298817,2.282337107,6.075588478,-13.78653952,16.90960827,13.20429074,4.154694343,0.812000642,86.61759779,-3.697997607,-0.824654815,0.398761717,,,,,,,,,,,,-8.098125328,9.489517959,-2.033188394,50,6.228115129,7.558918071,-138.1035214,-3.110108731,-15.63109208,30.91702016,-13.85727486
